Period,Year,Month,Month_Name,PSGC_Code,Province,Location,Geography_Status,Current_Region_XII,Model_Eligible,Reported_HIV_Cases,Case_Data_Status,Total_Population,Population_Data_Status,Population_Density_per_km2,Density_Data_Status,Active_Testing_Centers,Center_Data_Status,Cases_per_100k_Monthly,Rolling_12M_Cases,Rolling_12M_Rate_per_100k,Six_Month_Growth_pct,Facility_Need_Score,Facility_Need_Alert,Recommended_Additional_Centers,Source_Notes
01/01/1998,1998,1,January,1208001000,Sarangani,ALABEL,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,59762,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,117.18,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,42.5,MODERATE,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1204701000,Cotabato,ALAMADA,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,47904,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,60.83,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,35.5,LOW,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1204717000,Cotabato,ALEOSAN,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,25858,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,114.72,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,35.5,LOW,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1204715000,Cotabato,ANTIPAS,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,18422,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,80.727,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,35.5,LOW,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1204718000,Cotabato,ARAKAN,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,34974,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,50.453,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,35.5,LOW,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1206501000,Sultan Kudarat,BAGUMBAYAN,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,46546,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,69.255,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,35.5,LOW,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1206302000,South Cotabato,BANGA,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,60158,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,250.241,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,42.5,MODERATE,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1204716000,Cotabato,BANISILAN,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,32603,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,56.436,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,35.5,LOW,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1204702000,Cotabato,CARMEN,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,53405,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,48.022,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,42.5,MODERATE,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1206502000,Sultan Kudarat,COLUMBIO,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,22661,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,26.597,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,35.5,LOW,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1908703000,Maguindanao del Norte / historical Region XII,COTABATO CITY,HISTORICAL REGION XII / CURRENT BARMM,No,Historical-only,0,CONSTRAINED_DEVELOPMENT_SIMULATION,223909,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,1272.21,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,42.5,MODERATE,2,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1206503000,Sultan Kudarat,ESPERANZA,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,49171,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,151.622,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,35.5,LOW,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1230800000,General Santos City,GENERAL SANTOS,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,395247,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,801.881,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,42.5,MODERATE,3,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1208002000,Sarangani,GLAN,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,76988,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,110.456,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,42.5,MODERATE,1,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1206504000,Sultan Kudarat,ISULAN,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,66283,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,122.452,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,42.5,MODERATE,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1204703000,Cotabato,KABACAN,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,51696,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,115.367,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,42.5,MODERATE,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
01/01/1998,1998,1,January,1206505000,Sultan Kudarat,KALAMANSIG,CURRENT REGION XII,Yes,Yes,0,CONSTRAINED_DEVELOPMENT_SIMULATION,35305,OFFICIAL_2024_ANCHOR_WITH_DEVELOPMENT_BACKCAST,50.493,DEVELOPMENT_ESTIMATE,0,DEVELOPMENT_ESTIMATE,0,0,0,0,35.5,LOW,0,Cases constrained to DOH regional and reconciled municipality margins; population anchored to PSA 2024 POPCEN.
