facility_id,name,facility_type,address,municipality,province,psgc,latitude,longitude,phone,email,services,opening_hours,source_url,verified_on,contact_people
R12-001,"Allah Valley Medical Specialists Center, Inc.",treatment_hub,"Purok Villegas, General Santos Drive, Koronadal City",KORONADAL,South Cotabato,,6.4785293,124.8674574,0999-7025400,avmsci@yahoo.com,"HIV treatment; outpatient services; inpatient services",,,2026-08-08,"HACT Physician: Dr. Barbara Paras|Treatment Hub Manager: Arlene Velasco|Hub Case Manager: Baby Franklyn Tunquay"
R12-002,"Dr. Amado B. Diaz Provincial Foundation Hospital",treatment_hub,"Roosevelt St., Poblacion 4, Midsayap, North Cotabato",MIDSAYAP,Cotabato,,7.1893204,124.5308568,0917-8696865,,"HIV treatment; outpatient services; inpatient services",,,2026-08-08,"HACT Physician: Loriezl Madarang|HACT Nurse: Mark Kenneth Remoquillo"
R12-003,"Dadiangas Reproductive Health Medical Clinic and Laboratory",testing_center,"3/F Door 2, Vencer Bldg., National Highway, General Santos City",GENERAL SANTOS,General Santos City,,6.1190686,125.1696128,(083) 553-4615,drhmcl.gsc.ph@gmail.com,"Primary HIV care; outpatient services",,,2026-08-08,"HACT Physician: Dr. Mely Lastimoso|HACT Nurse: Mary Michelle N. Ang|HACT Pharmacist: Mely Plete"
R12-004,"Dr. Arturo P. Pingoy Medical Center",treatment_hub,"General Santos Drive, Zone IV, Koronadal City",KORONADAL,South Cotabato,,6.5053431,124.8370635,0917-4090537,,"HIV treatment; outpatient services; inpatient services",,,2026-08-08,"HACT Physician: Gilda P. Rosario|HACT Nurse: Nelia Baldostamon"
R12-005,"Dr. Jorge P. Royeca Hospital",treatment_hub,"E. Fernandez St., Brgy. Lagao, General Santos City",GENERAL SANTOS,General Santos City,,6.1257414,125.1856488,(083) 552-1357,,"HIV treatment; outpatient services; inpatient services",,,2026-08-08,"HACT Physician: Marinel Animas-Lim|HACT Nurse: Zyrnx John P. Octavio"
R12-006,"General Santos City Social Hygiene Clinic",testing_center,"City Health Office, Fernandez St., Lagao, General Santos City",GENERAL SANTOS,General Santos City,,6.1238037,125.1845207,"0963-5421010; 0955-1490557",shcgensan@gmail.com,"Primary HIV care; outpatient services",,,2026-08-08
R12-007,"Rural Health Unit – Kalamansig",rhu,"Poblacion, Kalamansig, Sultan Kudarat Province",KALAMANSIG,Sultan Kudarat,,6.5538266,124.0522897,(064) 204-6113,,"Primary HIV care; outpatient services",,,2026-08-08
R12-008,"South Cotabato Provincial Hospital",treatment_hub,"Aguinaldo St., Koronadal City, South Cotabato",KORONADAL,South Cotabato,,6.4927649,124.8390989,"(083) 877-7314; (083) 310-0747",,"HIV treatment; outpatient services; inpatient services",,,2026-08-08
R12-009,"Cotabato Provincial Hospital",treatment_hub,"Amas, Kidapawan City",KIDAPAWAN,Cotabato,,7.0571479,124.9718917,0930-2567522,"ajrodrigo1983@gmail.com; hivnorthcot@gmail.com","HIV treatment; outpatient services; inpatient services",,,2026-08-08
R12-010,"Family Planning Organization of the Philippines – Gensan Chapter",primary_hiv_care,"Zapote Corner T. Ramirez Sr. St., Brgy. Dadiangas East, General Santos City",GENERAL SANTOS,General Santos City,,6.1147843,125.1743227,"0933-3545400; 0932-4626058",socsargen@fpop1969.org,"Primary HIV care; outpatient services",,,2026-08-08
R12-011,"ZZ Health and Wellness Center by Pink Salmon Plus Association, Inc.",primary_hiv_care,"3rd Floor, Laurel Corner Quirino St., Brgy. Dadiangas East, General Santos City",GENERAL SANTOS,General Santos City,,6.1162444,125.1762055,"(083) 823-3868; 0912-7543711",,"Primary HIV care; outpatient services",,,2026-08-08
R12-012,"Sarangani Provincial Hospital",treatment_hub,"Capitol Complex, Brgy. Maribulan, Alabel, Sarangani Province",ALABEL,Sarangani,,6.0992982,125.2721294,"0912-1250681; 0953-2772757",sph.sarangani@gmail.com,"HIV treatment; outpatient services; inpatient services",,,2026-08-08
R12-013,"Sultan Kudarat Provincial Hospital (H4 Clinic)",treatment_hub,"Kalawag II, Isulan, Sultan Kudarat Province",ISULAN,Sultan Kudarat,,6.6465427,124.6115939,"0917-7178224; 0915-9554797",jfreno532@gmail.com,"HIV treatment; outpatient services; inpatient services",,,2026-08-08
R12-014,"St. Louis Hospital – Horizon Four Clinic",treatment_hub,"New Isabela, Tacurong City, Sultan Kudarat Province",TACURONG,Sultan Kudarat,,6.6786669,124.6672848,0938-8793645,stlouishospitaltacurong@gmail.com,"HIV treatment; outpatient services; inpatient services",,,2026-08-08
R12-015,"RHU Isulan",treatment_hub,"Municipal Compound, Kalawag III, Isulan, Sultan Kudarat",ISULAN,Sultan Kudarat,,6.6254985,124.5976232,0917-6461406,redribbonfacility2024@gmail.com,"HIV treatment; outpatient services",,,2026-08-08
R12-016,"Cotabato Regional and Medical Center",treatment_hub,"RH-11, Sinsuat Ave., Cotabato City",COTABATO CITY,BARMM,,7.2002359,124.2362898,0908-865-4861,"crmchact3444@gmail.com; hact@crmc.doh.gov.ph","HIV treatment; outpatient services; inpatient services",,,2026-08-09,"HACT Chair: Nor-aine P. Kansi|HACT Nurse: Gloria Delos Reyes"
