PERIOD,PSGC,PROVINCE,LOCATION,PREDICTED_CASES,ROLLING_12M_RATE_PER_100K,HOTSPOT_CLASS,HOTSPOT_CLUSTER_ID,HOTSPOT_CLUSTER_SIZE,TRANSMISSION_PRESSURE_INDEX,TRANSMISSION_PRESSURE_LEVEL,TESTING_CENTER_NEED_SCORE,ALERT_REASON,ALERT_TYPE,ALERT_STATUS
2025-01,1206311000,South Cotabato,NORALA,0.24980874668996225,16.887568799846843,HOT_SPOT_99,1,11,89.99765651155987,CRITICAL,76.20373951094214,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+TESTING_CENTER_GAP+NEIGHBOR_INFECTIOUS_PRESSURE,DYNAMIC SPATIOTEMPORAL WATCH,SCENARIO-BASED; VERIFY WITH OFFICIAL SURVEILLANCE
2025-01,1206315000,South Cotabato,TANTANGAN,0.28503972755317275,14.89051330496189,HOT_SPOT_95,1,11,84.08935404417463,CRITICAL,71.47389309769154,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+TESTING_CENTER_GAP+NEIGHBOR_INFECTIOUS_PRESSURE,DYNAMIC SPATIOTEMPORAL WATCH,SCENARIO-BASED; VERIFY WITH OFFICIAL SURVEILLANCE
2025-01,1206318000,South Cotabato,SANTO NIÑO,0.23968768168702137,19.940679244982917,HOT_SPOT_95,1,11,82.90172262403989,CRITICAL,70.96145144378144,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+TESTING_CENTER_GAP+NEIGHBOR_INFECTIOUS_PRESSURE,DYNAMIC SPATIOTEMPORAL WATCH,SCENARIO-BASED; VERIFY WITH OFFICIAL SURVEILLANCE
2025-01,1206314000,South Cotabato,TAMPAKAN,0.23468757907042218,12.289153992545362,HOT_SPOT_99,1,11,81.17009245054075,CRITICAL,74.04710933994258,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+TESTING_CENTER_GAP+NEIGHBOR_INFECTIOUS_PRESSURE,DYNAMIC SPATIOTEMPORAL WATCH,SCENARIO-BASED; VERIFY WITH OFFICIAL SURVEILLANCE
2025-01,1206306000,South Cotabato,KORONADAL,2.5291704901918584,33.133405048939316,HOT_SPOT_95,1,11,79.6080277276681,HIGH,69.44239716635424,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER,DYNAMIC SPATIOTEMPORAL WATCH,SCENARIO-BASED; VERIFY WITH OFFICIAL SURVEILLANCE
2025-01,1206511000,Sultan Kudarat,TACURONG,0.8811144287895225,16.8477359898643,NOT_SIGNIFICANT,0,0,79.20074430814597,HIGH,71.07679501869316,TRANSMISSION_PRESSURE_PROXY+TESTING_CENTER_GAP+NEIGHBOR_INFECTIOUS_PRESSURE,DYNAMIC SPATIOTEMPORAL WATCH,SCENARIO-BASED; VERIFY WITH OFFICIAL SURVEILLANCE
2025-01,1206312000,South Cotabato,POLOMOLOK,1.3477970580795373,18.71928085017384,HOT_SPOT_90,1,11,76.02484971532219,HIGH,81.2291875317253,TRANSMISSION_PRESSURE_PROXY+CONNECTED_HOTSPOT_CLUSTER+TESTING_CENTER_GAP,DYNAMIC SPATIOTEMPORAL WATCH,SCENARIO-BASED; VERIFY WITH OFFICIAL SURVEILLANCE
2025-01,1206317000,South Cotabato,TUPI,0.3048824492968908,13.013312760212498,HOT_SPOT_99,1,11,75.34147996818696,HIGH,78.32052529241548,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+TESTING_CENTER_GAP+NEIGHBOR_INFECTIOUS_PRESSURE,DYNAMIC SPATIOTEMPORAL WATCH,SCENARIO-BASED; VERIFY WITH OFFICIAL SURVEILLANCE
2025-01,1206302000,South Cotabato,BANGA,0.628468150559434,10.43917437671045,HOT_SPOT_99,1,11,70.48119621615956,HIGH,58.04702463434974,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+NEIGHBOR_INFECTIOUS_PRESSURE,DYNAMIC SPATIOTEMPORAL WATCH,SCENARIO-BASED; VERIFY WITH OFFICIAL SURVEILLANCE
2025-01,1206502000,Sultan Kudarat,COLUMBIO,0.15148266514665948,12.369918496006708,HOT_SPOT_90,1,11,66.29713806278197,HIGH,62.51367423649071,TRANSMISSION_PRESSURE_PROXY+CONNECTED_HOTSPOT_CLUSTER+NEIGHBOR_INFECTIOUS_PRESSURE,DYNAMIC SPATIOTEMPORAL WATCH,SCENARIO-BASED; VERIFY WITH OFFICIAL SURVEILLANCE
2025-01,1230800000,General Santos City,GENERAL SANTOS,5.24284000865528,21.262811944729794,NOT_SIGNIFICANT,0,0,65.61936539127397,HIGH,74.14044873511324,TRANSMISSION_PRESSURE_PROXY+TESTING_CENTER_GAP,DYNAMIC SPATIOTEMPORAL WATCH,SCENARIO-BASED; VERIFY WITH OFFICIAL SURVEILLANCE
2025-01,1208007000,Sarangani,MALUNGON,0.7337002846403796,8.911135507723644,HOT_SPOT_95,1,11,60.927781620362566,MODERATE,56.44385711404753,STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+NEIGHBOR_INFECTIOUS_PRESSURE,DYNAMIC SPATIOTEMPORAL WATCH,SCENARIO-BASED; VERIFY WITH OFFICIAL SURVEILLANCE
