PERIOD,PSGC,PROVINCE,LOCATION,GLOBAL_MORANS_I,LOCAL_MORANS_I,LOCAL_MORAN_CLUSTER,GI_STAR_Z_SCORE,GI_STAR_P_VALUE,HOTSPOT_CLASS,HOTSPOT_CLUSTER_ID,HOTSPOT_CLUSTER_SIZE,AUTOMATIC_ALERT,ALERT_REASON
2025-01,1204701000,Cotabato,ALAMADA,0.2826852360095222,0.4645366431121622,LOW-LOW,-1.4457582948300878,0.1482450073670715,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204702000,Cotabato,CARMEN,0.2826852360095222,0.5762398017759236,LOW-LOW,-1.5928871994945295,0.11118549839471012,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204703000,Cotabato,KABACAN,0.2826852360095222,-0.03912142701584979,NOT_SIGNIFICANT,-0.572927392152687,0.5666938568132676,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204704000,Cotabato,KIDAPAWAN,0.2826852360095222,-0.11696582514137911,NOT_SIGNIFICANT,-0.28584596405174306,0.7749961019739537,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204705000,Cotabato,LIBUNGAN,0.2826852360095222,0.28213616502702754,NOT_SIGNIFICANT,-1.8147501168861773,0.0695623194224132,COLD_SPOT_90,0,0,0,NONE
2025-01,1204706000,Cotabato,MAGPET,0.2826852360095222,0.24451686224762506,NOT_SIGNIFICANT,-1.0414054087721643,0.29768743332788494,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204707000,Cotabato,MAKILALA,0.2826852360095222,-0.017928560489285844,NOT_SIGNIFICANT,-0.11383505200551891,0.9093685517057764,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204708000,Cotabato,MATALAM,0.2826852360095222,-0.05597880563201233,NOT_SIGNIFICANT,0.20687102360394968,0.8361105868100375,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204709000,Cotabato,MIDSAYAP,0.2826852360095222,0.11445721645744089,NOT_SIGNIFICANT,-0.7226821634968043,0.46987517625440933,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204710000,Cotabato,M'LANG,0.2826852360095222,-0.05427004210119605,NOT_SIGNIFICANT,0.10974920930179886,0.9126082727203364,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204711000,Cotabato,PIGKAWAYAN,0.2826852360095222,0.22626499305241443,NOT_SIGNIFICANT,-0.8779431977017388,0.37997454502272177,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204712000,Cotabato,PIKIT,0.2826852360095222,0.34373777588278487,NOT_SIGNIFICANT,-1.188331732362604,0.23470274060724017,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204713000,Cotabato,PRESIDENT ROXAS,0.2826852360095222,0.158855190405037,NOT_SIGNIFICANT,-1.35418183774674,0.17567837195560787,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204714000,Cotabato,TULUNAN,0.2826852360095222,-0.07826308664509068,NOT_SIGNIFICANT,0.3085868170505337,0.7576358502323415,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204715000,Cotabato,ANTIPAS,0.2826852360095222,0.07705112912449308,NOT_SIGNIFICANT,-1.3272513993738193,0.1844255348324354,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204716000,Cotabato,BANISILAN,0.2826852360095222,1.0400756533170534,LOW-LOW,-1.9060116370001996,0.05664869586616312,COLD_SPOT_90,0,0,0,NONE
2025-01,1204717000,Cotabato,ALEOSAN,0.2826852360095222,0.03805089641645744,NOT_SIGNIFICANT,-1.268880974557145,0.20448351889689453,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1204718000,Cotabato,ARAKAN,0.2826852360095222,0.5195497977693683,LOW-LOW,-1.291210753256691,0.19663060734835947,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1206302000,South Cotabato,BANGA,0.2826852360095222,0.4171539867449315,HIGH-HIGH,3.656724080712344,0.0002554591005047591,HOT_SPOT_99,1,11,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+NEIGHBOR_INFECTIOUS_PRESSURE
2025-01,1206306000,South Cotabato,KORONADAL,0.2826852360095222,1.4484606928854815,HIGH-HIGH,2.475907848132585,0.013289787520184877,HOT_SPOT_95,1,11,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER
2025-01,1206311000,South Cotabato,NORALA,0.2826852360095222,1.3993602690909992,HIGH-HIGH,2.8380298851896115,0.004539293232560306,HOT_SPOT_99,1,11,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+TESTING_CENTER_GAP+NEIGHBOR_INFECTIOUS_PRESSURE
2025-01,1206312000,South Cotabato,POLOMOLOK,0.2826852360095222,0.9968909571064,HIGH-HIGH,1.905753018443572,0.05668225701632862,HOT_SPOT_90,1,11,1,TRANSMISSION_PRESSURE_PROXY+CONNECTED_HOTSPOT_CLUSTER+TESTING_CENTER_GAP
2025-01,1206313000,South Cotabato,SURALLAH,0.2826852360095222,0.3034429023574911,NOT_SIGNIFICANT,1.1523142830605972,0.2491919497840368,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1206314000,South Cotabato,TAMPAKAN,0.2826852360095222,1.0620399599021118,HIGH-HIGH,3.0203444697525788,0.0025248734587598534,HOT_SPOT_99,1,11,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+TESTING_CENTER_GAP+NEIGHBOR_INFECTIOUS_PRESSURE
2025-01,1206315000,South Cotabato,TANTANGAN,0.2826852360095222,0.827946200770189,HIGH-HIGH,2.3822701297036835,0.01720627058087215,HOT_SPOT_95,1,11,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+TESTING_CENTER_GAP+NEIGHBOR_INFECTIOUS_PRESSURE
2025-01,1206316000,South Cotabato,T'BOLI,0.2826852360095222,-0.19829157344695936,NOT_SIGNIFICANT,1.4573824520270064,0.1450108382436754,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1206317000,South Cotabato,TUPI,0.2826852360095222,0.7409226081067988,HIGH-HIGH,2.7789330058576778,0.005453777176589701,HOT_SPOT_99,1,11,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+TESTING_CENTER_GAP+NEIGHBOR_INFECTIOUS_PRESSURE
2025-01,1206318000,South Cotabato,SANTO NIÑO,0.2826852360095222,1.2748041444821554,HIGH-HIGH,2.2973717096501414,0.021597574204727788,HOT_SPOT_95,1,11,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+TESTING_CENTER_GAP+NEIGHBOR_INFECTIOUS_PRESSURE
2025-01,1206319000,South Cotabato,LAKE SEBU,0.2826852360095222,0.07123876340924579,NOT_SIGNIFICANT,-1.0847646305045446,0.27802591450150116,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1206501000,Sultan Kudarat,BAGUMBAYAN,0.2826852360095222,0.10403330481178495,NOT_SIGNIFICANT,0.938202158003663,0.34814052958409314,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1206502000,Sultan Kudarat,COLUMBIO,0.2826852360095222,0.49339397872977964,HIGH-HIGH,1.7751610820861015,0.07587129367547289,HOT_SPOT_90,1,11,1,TRANSMISSION_PRESSURE_PROXY+CONNECTED_HOTSPOT_CLUSTER+NEIGHBOR_INFECTIOUS_PRESSURE
2025-01,1206503000,Sultan Kudarat,ESPERANZA,0.2826852360095222,0.014122100550393084,NOT_SIGNIFICANT,-0.2140233368315505,0.8305288586465607,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1206504000,Sultan Kudarat,ISULAN,0.2826852360095222,0.15803613852576476,NOT_SIGNIFICANT,0.9189730530209563,0.358109667082836,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1206505000,Sultan Kudarat,KALAMANSIG,0.2826852360095222,0.2506189658452879,NOT_SIGNIFICANT,-1.3491062302960841,0.17730284738359803,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1206506000,Sultan Kudarat,LEBAK,0.2826852360095222,-0.027722727413670687,NOT_SIGNIFICANT,-0.2522473341640233,0.800849893284854,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1206507000,Sultan Kudarat,LUTAYAN,0.2826852360095222,-1.2128472885815909,LOW-HIGH,1.653228827469142,0.09828430163492224,HOT_SPOT_90,1,11,0,CONNECTED_HOTSPOT_CLUSTER+NEIGHBOR_INFECTIOUS_PRESSURE
2025-01,1206508000,Sultan Kudarat,LAMBAYONG,0.2826852360095222,-0.07596888582686588,NOT_SIGNIFICANT,0.27700893350178224,0.7817732465299604,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1206509000,Sultan Kudarat,PALIMBANG,0.2826852360095222,0.8195349506233596,LOW-LOW,-1.7774197154350053,0.07549920934939872,COLD_SPOT_90,0,0,0,NONE
2025-01,1206510000,Sultan Kudarat,PRESIDENT QUIRINO,0.2826852360095222,-0.22630078411439825,NOT_SIGNIFICANT,0.008728782512321932,0.9930355276380246,NOT_SIGNIFICANT,0,0,0,NEIGHBOR_INFECTIOUS_PRESSURE
2025-01,1206511000,Sultan Kudarat,TACURONG,0.2826852360095222,0.49092499998924155,HIGH-HIGH,1.370154140122473,0.17063879043739405,NOT_SIGNIFICANT,0,0,1,TRANSMISSION_PRESSURE_PROXY+TESTING_CENTER_GAP+NEIGHBOR_INFECTIOUS_PRESSURE
2025-01,1206512000,Sultan Kudarat,SEN. NINOY AQUINO,0.2826852360095222,0.22791593363023943,NOT_SIGNIFICANT,-0.9407070714709852,0.346854994139396,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1208001000,Sarangani,ALABEL,0.2826852360095222,-0.044043561574640934,NOT_SIGNIFICANT,0.2399114511311331,0.8103989033593938,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1208002000,Sarangani,GLAN,0.2826852360095222,0.2980733509907207,NOT_SIGNIFICANT,-0.935057255659042,0.34975879336056126,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1208003000,Sarangani,KIAMBA,0.2826852360095222,0.078384631010982,NOT_SIGNIFICANT,-0.9788312776322231,0.3276633525721552,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1208004000,Sarangani,MAASIM,0.2826852360095222,-0.39866034456792104,LOW-HIGH,0.3612488781786307,0.7179134061310037,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1208005000,Sarangani,MAITUM,0.2826852360095222,0.32390644623683523,NOT_SIGNIFICANT,-1.162361696566565,0.2450885752078633,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1208006000,Sarangani,MALAPATAN,0.2826852360095222,0.31266808693868353,NOT_SIGNIFICANT,-0.935057255659042,0.34975879336056126,NOT_SIGNIFICANT,0,0,0,NONE
2025-01,1208007000,Sarangani,MALUNGON,0.2826852360095222,0.07724171865187383,NOT_SIGNIFICANT,1.9659934955203757,0.04929936197008534,HOT_SPOT_95,1,11,1,STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER+NEIGHBOR_INFECTIOUS_PRESSURE
2025-01,1230800000,General Santos City,GENERAL SANTOS,0.2826852360095222,0.12135226103891103,NOT_SIGNIFICANT,1.002449381287345,0.3161266024278041,NOT_SIGNIFICANT,0,0,1,TRANSMISSION_PRESSURE_PROXY+TESTING_CENTER_GAP
2025-02,1204701000,Cotabato,ALAMADA,0.33708227463891594,0.7149433246875019,LOW-LOW,-1.6628959799471073,0.09633325924727051,COLD_SPOT_90,0,0,0,NONE
2025-02,1204702000,Cotabato,CARMEN,0.33708227463891594,0.5604022793548125,LOW-LOW,-1.5833456316807033,0.1133427076170056,NOT_SIGNIFICANT,0,0,0,NONE
2025-02,1204703000,Cotabato,KABACAN,0.33708227463891594,-0.05041407180257803,NOT_SIGNIFICANT,-0.6511836439539955,0.5149279472705944,NOT_SIGNIFICANT,0,0,0,NONE
2025-02,1204704000,Cotabato,KIDAPAWAN,0.33708227463891594,-0.14859610815048424,NOT_SIGNIFICANT,-0.4036991194248515,0.6864339872205314,NOT_SIGNIFICANT,0,0,0,NONE
2025-02,1204705000,Cotabato,LIBUNGAN,0.33708227463891594,0.2869504463310743,NOT_SIGNIFICANT,-1.8431267504135644,0.0653105064778864,COLD_SPOT_90,0,0,0,NONE
2025-02,1204706000,Cotabato,MAGPET,0.33708227463891594,0.27924014872771236,NOT_SIGNIFICANT,-1.164361887882449,0.24427738586977066,NOT_SIGNIFICANT,0,0,0,NONE
2025-02,1204707000,Cotabato,MAKILALA,0.33708227463891594,-0.010519614797918186,NOT_SIGNIFICANT,-0.19109275855365082,0.8484529209360192,NOT_SIGNIFICANT,0,0,0,NONE
2025-02,1204708000,Cotabato,MATALAM,0.33708227463891594,-0.05460493666634655,NOT_SIGNIFICANT,0.06988242522385656,0.944287241566596,NOT_SIGNIFICANT,0,0,0,NONE
2025-02,1204709000,Cotabato,MIDSAYAP,0.33708227463891594,0.05762589245704699,NOT_SIGNIFICANT,-0.6064210149766914,0.5442352171101537,NOT_SIGNIFICANT,0,0,0,NONE
2025-02,1204710000,Cotabato,M'LANG,0.33708227463891594,-0.08657791990948578,NOT_SIGNIFICANT,-0.011800557715632452,0.9905847357078954,NOT_SIGNIFICANT,0,0,0,NONE
2025-02,1204711000,Cotabato,PIGKAWAYAN,0.33708227463891594,0.3647059273823779,LOW-LOW,-1.1170871212967568,0.2639570764953111,NOT_SIGNIFICANT,0,0,0,NONE
