LOCATION,PERIOD,YEAR,MONTH,HORIZON_MONTH,PSGC,PROVINCE,BASE_REGIONAL_SCENARIO_CASES,MODEL_REGIONAL_INPUT_CASES,REGIONAL_SCENARIO_CASES,REGIONAL_DYNAMIC_RATIO,MLR_CASES,LSTM_CASES,HYBRID_CASES_BEFORE_SPATIAL,MECHANISTIC_DIAGNOSES,NEIGHBOR_SPATIAL_LAG_CASES,PREDICTED_CASES,LOWER_80,UPPER_80,LOWER_95,UPPER_95,POPULATION,MONTHLY_POPULATION_GROWTH_RATE,NATURAL_POPULATION_CHANGE,NET_MIGRATION_CHANGE,PLHIV_NET_MIGRATION,DENSITY,ACTIVE_TESTING_CENTERS,NEW_TESTING_CENTERS_OPENED,PENDING_TESTING_CENTERS,CENTER_ESTABLISHMENT_SCHEDULED_FOR,TESTING_ACCESS_SCORE,CENTER_EFFECT_ON_TRANSMISSION,HISTORICAL_SHARE,NEW_INFECTIONS_ESTIMATE,LOCAL_INFECTIOUS_PREVALENCE,NEIGHBOR_INFECTIOUS_PREVALENCE,LOCAL_FORCE_OF_INFECTION_SCORE,EFFECTIVE_INFECTIOUS_POOL,PLHIV_UNDIAGNOSED,PLHIV_DIAGNOSED_NOT_ON_ART,PLHIV_ON_ART_UNSUPPRESSED,PLHIV_VIRALLY_SUPPRESSED,TOTAL_PLHIV,NEW_ART_ENROLLMENTS,NEWLY_VIRALLY_SUPPRESSED,TREATMENT_INTERRUPTION,PLHIV_ATTRITION,ART_COVERAGE,VIRAL_SUPPRESSION_COVERAGE,INFECTIOUS_POOL_REDUCTION_FROM_TREATMENT,TREATMENT_DECOMPOSITION_RATE,ROLLING_12M_CASES,ROLLING_12M_RATE_PER_100K,DIAGNOSIS_GROWTH_RATIO,PROVISIONAL_CENTER_NEED_SCORE,DATA_STATUS,GLOBAL_MORANS_I,LOCAL_MORANS_I,LOCAL_SPATIAL_LAG_Z,LOCAL_MORAN_CLUSTER,GI_STAR_Z_SCORE,GI_STAR_P_VALUE,HOTSPOT_CLASS,HOTSPOT_CLUSTER_ID,HOTSPOT_CLUSTER_SIZE,NEIGHBOR_RATE_PER_100K,NEIGHBOR_INFECTIOUS_POOL_PER_100K,NEW_INFECTION_RATE_PER_100K,TRANSMISSION_PRESSURE_INDEX,TRANSMISSION_PRESSURE_LEVEL,TESTING_CENTER_NEED_SCORE,AUTOMATIC_ALERT,ALERT_REASON
ALAMADA,2025-01,2025,1,1,1204701000,Cotabato,17.710386131753914,17.710386131753914,21.407582006949518,1.2087586260226535,0.23305895621429157,0.06833217293024063,0.20689316982686967,0.19097700461628675,0.3002890683620545,0.1223795650558172,0.0,0.93927709780204,0.0,1.371302470034442,72023.71713080401,0.0006768618381940428,50.890420047898424,-2.1732892438931373,-0.002328567044026666,91.45886314142543,0.0,0,0,,0.0,0.0,0.012749615975422426,0.1882533366186223,0.0007220657949915041,0.0007672593068823683,55.436634641576084,52.00586256829721,35.51058461277724,11.40387508523978,21.83683824020198,8.518704667107954,77.27000260532695,0.976572223467185,1.1583358084252946,0.18699560677913457,0.08793928993784539,0.39285028968301394,0.11024594771426446,0.7651466128928485,0.014712699205556146,3.1223795650558173,4.335210246626383,0.3671386951674516,67.77599217453357,MODEL-BASED MECHANISTIC SCENARIO FROM CONSTRAINED DEVELOPMENT DATA,0.2826852360095222,0.4645366431121622,-0.7173860880248466,LOW-LOW,-1.4457582948300878,0.1482450073670715,NOT_SIGNIFICANT,0,0,3.892708961076052,76.72593068823683,0.2613768687843907,18.10549977489087,LOW,44.16365775910765,0,NONE
CARMEN,2025-01,2025,1,1,1204702000,Cotabato,17.710386131753914,17.710386131753914,21.407582006949518,1.2087586260226535,0.06221286107689719,0.049673572182655334,0.059910130773995256,0.1358971549171521,0.2873066509965092,0.07517192841389203,0.0,0.8526526054248367,0.0,1.2638319338284407,80297.8646177262,0.0006587901766614834,56.74361903059961,-3.879001304411301,-0.002646549158906577,72.2035356639872,0.0,0,0,,0.0,0.0,0.0032258064516129032,0.14655746806448733,0.00042929414533392966,0.0008555049034270118,44.47938616554723,34.47140316320636,25.234714119274038,8.085219762406266,15.501806402014447,6.0476618663111825,54.86940215000593,0.6923639794425692,0.8222938345383706,0.13274791923610954,0.06245426198078968,0.39274108016362447,0.11021920468128389,0.5426603584991712,0.015742334477361484,0.07517192841389203,0.09361634804582016,0.7517192841389203,57.69369473313153,MODEL-BASED MECHANISTIC SCENARIO FROM CONSTRAINED DEVELOPMENT DATA,0.2826852360095222,0.5762398017759236,-0.4375251352118736,LOW-LOW,-1.5928871994945295,0.11118549839471012,NOT_SIGNIFICANT,0,0,5.665749672519725,85.55049034270118,0.18251726713058067,21.460708212081155,LOW,46.21908763093367,0,NONE
KABACAN,2025-01,2025,1,1,1204703000,Cotabato,17.710386131753914,17.710386131753914,21.407582006949518,1.2087586260226535,0.22373141258552345,0.3132551610469818,0.23550176863543046,0.39051396630415164,0.42345079033901534,0.20403048720427291,0.0,1.0849503085541459,0.0,1.5508345822477605,78511.01947965726,0.0007778136348917108,56.617458728678514,4.402020928581319,0.007534008219844886,175.2091741665014,0.0,0,0,,0.059362790307662096,0.010685302255379177,0.012749615975422426,0.3043237097649649,0.0011295716787303428,0.0008152500254125471,93.92817412349639,88.68382407246709,59.80272355396301,18.991517357824463,36.74556609137378,14.590951544741491,130.13075854790276,1.845898021983527,2.1937009273664376,0.30339877425407835,0.1479147500360225,0.39449948812230784,0.11212530924708611,1.4470280394565693,0.016316707749026983,7.204030487204273,9.175820840118993,0.3060457308064094,82.17569888807719,MODEL-BASED MECHANISTIC SCENARIO FROM CONSTRAINED DEVELOPMENT DATA,0.2826852360095222,-0.03912142701584979,-0.3357692733563965,NOT_SIGNIFICANT,-0.572927392152687,0.5666938568132676,NOT_SIGNIFICANT,0,0,6.310417261493344,81.52500254125471,0.38761910338435646,35.481254341205215,LOW,58.482761159023134,0,NONE
KIDAPAWAN,2025-01,2025,1,1,1204704000,Cotabato,17.710386131753914,17.710386131753914,21.407582006949518,1.2087586260226535,0.7171190140493287,0.6990146636962891,0.7094083075384628,2.0313604984471065,0.4094187145238755,0.859199366153831,0.0,2.143028097215149,0.0,2.821995242035409,162318.95022669027,0.0012148272701439922,137.36715232163195,59.583074368643736,0.1019757468989731,452.77237283258637,1.0,0,0,,0.5114164634854681,0.09205496342738426,0.03920122887864823,0.8263840004704048,0.0012180433092142556,0.0008846771448316067,255.8496320264838,197.71151128230184,131.72791445540142,38.65295921967584,80.40556546238233,36.463501043288716,287.2499401807483,7.520191228849706,9.097177816381578,0.4718028406130065,0.3232951729821525,0.4068549724749558,0.12693997784766997,5.924001007393017,0.029962853295549638,18.85919936615383,11.618606046808202,0.5155196196922985,81.77743478500989,MODEL-BASED MECHANISTIC SCENARIO FROM CONSTRAINED DEVELOPMENT DATA,0.2826852360095222,-0.11696582514137911,-0.23295888882107219,NOT_SIGNIFICANT,-0.28584596405174306,0.7749961019739537,NOT_SIGNIFICANT,0,0,6.961765709742675,88.46771448316066,0.5091112278118477,44.13445703097996,LOW,61.37485445808233,0,NONE
LIBUNGAN,2025-01,2025,1,1,1204705000,Cotabato,17.710386131753914,17.710386131753914,21.407582006949518,1.2087586260226535,1.7102079577829015,0.24206174910068512,1.4795681443177477,0.2542933133720781,0.2568822090153169,0.37881845223398697,0.0,1.3831625098912543,0.0,1.914321067685035,58190.82321313329,0.0009085832524904358,40.78293032842788,12.040282804858267,0.02060680562241073,337.33822163075337,0.0,0,0,,0.03626492129600214,0.006527685833280385,0.1,0.3406857607286041,0.000969600636284573,0.0007636440364210562,72.55912414491624,56.42185921337714,41.15428790663036,13.373049889244836,25.37128046408105,9.998812190433776,89.89743045039003,1.2395569297775375,1.4487230404161449,0.2124907316925284,0.10220550862500379,0.39344942872459343,0.1112246717213083,0.9673175972481025,0.017144376501133797,3.378818452233987,5.806445528117928,3.7881845223398694,70.1622397732826,MODEL-BASED MECHANISTIC SCENARIO FROM CONSTRAINED DEVELOPMENT DATA,0.2826852360095222,0.28213616502702754,-0.6793266717998871,NOT_SIGNIFICANT,-1.8147501168861773,0.0695623194224132,COLD_SPOT_90,0,0,4.133831896385035,76.36440364210561,0.5854630368104392,37.1330499397281,LOW,51.30907310865746,0,NONE
MAGPET,2025-01,2025,1,1,1204706000,Cotabato,17.710386131753914,17.710386131753914,21.407582006949518,1.2087586260226535,0.3482918764372402,0.1391686052083969,0.3147074793761977,0.17382850578060727,0.4780747995739713,0.14704701130204254,0.0,0.983802785913497,0.0,1.4263304108640167,55636.147349053375,0.0006501321772189872,38.91937455699335,-2.772025503620887,-0.003133738274812233,73.65085167863984,0.0,0,0,,0.031688322625244014,0.005703898072543922,0.02,0.16522467152286135,0.0007733225215785189,0.0009032668317953453,45.859120748671856,43.02468575888398,28.906880395864913,9.28286438192287,17.793643561433527,7.00613902138643,62.98952736060774,0.8519916753086938,1.0068962769880005,0.14945909429624835,0.07162816836308554,0.39371279039520457,0.11122704543053795,0.6668765847837956,0.015499859511375865,2.1470470113020426,3.8590864278070356,0.44114103390612763,65.24609461522428,MODEL-BASED MECHANISTIC SCENARIO FROM CONSTRAINED DEVELOPMENT DATA,0.2826852360095222,0.24451686224762506,-0.3383411933144028,NOT_SIGNIFICANT,-1.0414054087721643,0.29768743332788494,NOT_SIGNIFICANT,0,0,6.2941230312826475,90.32668317953451,0.2969736033055362,25.56114818067106,LOW,41.14598843811841,0,NONE
MAKILALA,2025-01,2025,1,1,1204707000,Cotabato,17.710386131753914,17.710386131753914,21.407582006949518,1.2087586260226535,0.006574131403958988,0.06255263090133667,0.014866231290219464,0.3603888926764963,0.7755494331070741,0.17332733644924195,0.0,1.0307339062179068,0.0,1.4841829345355002,89169.32567881378,0.0008566966968648337,64.09040604633032,12.235272767445561,0.020940528702049377,259.5151354566202,0.0,0,0,,0.08664111727728892,0.015595401109912005,0.0,0.30737828813603496,0.0008183572462632556,0.001069393818149811,98.02159071863666,72.97236381366545,50.88940952902604,16.057706548492614,31.21706847311879,12.496804873513438,110.66098942415088,1.6474523737793698,1.9599543079958,0.25333757904825704,0.12573555814798065,0.3950251445799202,0.11292872889121404,1.2918396284934848,0.017703135282724162,5.173327336449242,5.801689422978782,0.5199820093477259,74.17045859502477,MODEL-BASED MECHANISTIC SCENARIO FROM CONSTRAINED DEVELOPMENT DATA,0.2826852360095222,-0.017928560489285844,0.04309044900434103,NOT_SIGNIFICANT,-0.11383505200551891,0.9093685517057764,NOT_SIGNIFICANT,0,0,8.710658184423183,106.9393818149811,0.344713034214485,38.12739709259,LOW,59.14228941745881,0,NONE
MATALAM,2025-01,2025,1,1,1204708000,Cotabato,17.710386131753914,17.710386131753914,21.407582006949518,1.2087586260226535,0.06233430216344063,0.08413156121969223,0.06514519348191515,0.30886744791329895,0.6838849908345256,0.15944731503039972,0.0,1.006009885512546,0.0,1.4537239438486578,82197.1220451093,0.0007685251553473105,58.85455943487613,4.267485674426686,0.007303752678786706,172.6826090155552,0.0,0,0,,0.07300973058182161,0.01314175150472789,0.0032258064516129032,0.2602695025880116,0.0007961161156192332,0.0011207425426564516,82.15807222707367,65.43845351763245,45.35296485356849,14.361650191728426,27.84548681373209,11.10180607633164,98.66190793536065,1.4345977643299548,1.7052843893464344,0.22794404558703002,0.11212305486172691,0.39475511577964256,0.11252373189058032,1.1246719157504326,0.01718671293855361,5.1594473150304,6.2769196617357546,0.47834194509119915,74.63998762515875,MODEL-BASED MECHANISTIC SCENARIO FROM CONSTRAINED DEVELOPMENT DATA,0.2826852360095222,-0.05597880563201233,0.1641334703302582,NOT_SIGNIFICANT,0.20687102360394968,0.8361105868100375,NOT_SIGNIFICANT,0,0,9.477518307244317,112.07425426564515,0.31664065129333513,39.96848335473048,LOW,59.271938293165945,0,NONE
MIDSAYAP,2025-01,2025,1,1,1204709000,Cotabato,17.710386131753914,17.710386131753914,21.407582006949518,1.2087586260226535,0.096192116231339,0.22809915244579315,0.11516725990876892,1.3181409413072045,0.3148347404912121,0.49613422180848055,0.0,1.575432199792098,0.0,2.1462309744199395,116627.23581293273,0.0010234130955191212,86.26521266741462,32.970600265330965,0.05642880337060959,402.163158257951,1.0,0,0,,0.559142369034768,0.10064562642625824,0.0032258064516129032,0.48220624012747304,0.0010363412172066954,0.000906880488688382,153.67789097291856,120.865611521827,80.67543376060964,23.414317436586835,49.184334589243576,22.61924500391403,175.89333079035407,4.821110041145739,5.857186260875469,0.2759102237185011,0.1977561704821119,0.4082222974033038,0.12859637657822137,3.8023262504106556,0.03145912391899823,7.4961342218084805,6.427430239221393,0.49613422180848055,67.29288659206567,MODEL-BASED MECHANISTIC SCENARIO FROM CONSTRAINED DEVELOPMENT DATA,0.2826852360095222,0.11445721645744089,-0.36072277486622517,NOT_SIGNIFICANT,-0.7226821634968043,0.46987517625440933,NOT_SIGNIFICANT,0,0,6.152325989290878,90.6880488688382,0.4134593748761397,31.9676111960841,LOW,42.60504495391554,0,NONE
M'LANG,2025-01,2025,1,1,1204710000,Cotabato,17.710386131753914,17.710386131753914,21.407582006949518,1.2087586260226535,0.0411241987857157,0.25208818912506104,0.07226000564705327,1.5004632595608962,0.535549956474379,0.5642753012901947,0.0,1.6848096559112167,0.0,2.2774167482926932,99394.04480800494,0.000936997693929964,73.14837995262775,19.896428052312405,0.034052507910266504,318.4681245562777,1.0,0,0,,0.6360873683787156,0.1144957263081688,0.0,0.43734550600572836,0.0012659292527344938,0.0009964737077798127,141.467702015384,125.82582887005648,84.17745253901901,24.114860312858912,51.3135089936311,24.13068113421492,183.73650297972392,5.418401758071032,6.6092526109590715,0.26635798022865653,0.20616827113911793,0.4106107872107025,0.1313330815754006,4.278154472073122,0.03400060631820896,12.564275301290195,12.640873329544085,0.5642753012901947,76.91645960507594,MODEL-BASED MECHANISTIC SCENARIO FROM CONSTRAINED DEVELOPMENT DATA,0.2826852360095222,-0.05427004210119605,-0.08180037169506682,NOT_SIGNIFICANT,0.10974920930179886,0.9126082727203364,NOT_SIGNIFICANT,0,0,7.919420581035029,99.64737077798127,0.4400117802334428,48.782975448016195,MODERATE,52.85808501952735,0,NONE
