PSGC,PROVINCE,LOCATION,POPULATION_2024,DENSITY_2024,ESTIMATED_TESTING_CENTERS_2024,AREA_KM2_APPROX,REPRESENTATIVE_LATITUDE,REPRESENTATIVE_LONGITUDE,BOUNDARY_SOURCE,CASE_DATA_STATUS
1204701000,Cotabato,ALAMADA,71975.0,91.397,0.0,567.6906,7.485798259500058,124.5844818565175,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1204717000,Cotabato,ALEOSAN,38254.0,169.716,0.0,174.1716,7.186780819000035,124.63386669132154,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1204715000,Cotabato,ANTIPAS,27108.0,118.791,0.0,110.7519,7.260335179500032,125.0770170321075,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1204718000,Cotabato,ARAKAN,51900.0,74.87,0.0,446.0734,7.341983561999999,125.15082460167278,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1204716000,Cotabato,BANISILAN,48306.0,83.618,0.0,287.0405,7.468041295000063,124.72701837658659,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1204702000,Cotabato,CARMEN,80245.0,72.156,0.0,594.853,7.320356780500049,124.74289388627236,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1204703000,Cotabato,KABACAN,78450.0,175.073,0.0,257.179,7.17538834450005,124.86154057020642,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1204704000,Cotabato,KIDAPAWAN,162122.0,452.223,1.0,292.251,7.04223750050005,125.07367761959239,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1204705000,Cotabato,LIBUNGAN,58138.0,337.032,0.0,168.8302,7.285513838000043,124.54461452656179,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1204710000,Cotabato,M'LANG,99301.0,318.17,1.0,362.6978,6.9452883305,124.89888548273186,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1204706000,Cotabato,MAGPET,55600.0,73.603,0.0,387.3082,7.139818877000067,125.17540500509725,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
