FROM_PSGC,FROM_LOCATION,TO_PSGC,TO_LOCATION,EDGE_TYPE,DISTANCE_KM
1204701000,ALAMADA,1204705000,LIBUNGAN,QUEEN_CONTIGUITY,22.7004
1204701000,ALAMADA,1204711000,PIGKAWAYAN,QUEEN_CONTIGUITY,26.387
1204701000,ALAMADA,1204716000,BANISILAN,QUEEN_CONTIGUITY,15.8382
1204702000,CARMEN,1204703000,KABACAN,QUEEN_CONTIGUITY,20.7637
1204702000,CARMEN,1204705000,LIBUNGAN,QUEEN_CONTIGUITY,22.2094
1204702000,CARMEN,1204712000,PIKIT,QUEEN_CONTIGUITY,29.6656
1204702000,CARMEN,1204713000,PRESIDENT ROXAS,QUEEN_CONTIGUITY,27.023
1204702000,CARMEN,1204716000,BANISILAN,QUEEN_CONTIGUITY,16.5148
1204702000,CARMEN,1204717000,ALEOSAN,QUEEN_CONTIGUITY,19.1113
1204703000,KABACAN,1204708000,MATALAM,QUEEN_CONTIGUITY,11.188
1204703000,KABACAN,1204710000,M'LANG,QUEEN_CONTIGUITY,25.9158
1204703000,KABACAN,1204713000,PRESIDENT ROXAS,QUEEN_CONTIGUITY,25.6062
1204704000,KIDAPAWAN,1204706000,MAGPET,QUEEN_CONTIGUITY,15.6121
1204704000,KIDAPAWAN,1204707000,MAKILALA,QUEEN_CONTIGUITY,13.9227
1204704000,KIDAPAWAN,1204708000,MATALAM,QUEEN_CONTIGUITY,20.3578
1204704000,KIDAPAWAN,1204710000,M'LANG,QUEEN_CONTIGUITY,22.0992
1204704000,KIDAPAWAN,1204713000,PRESIDENT ROXAS,QUEEN_CONTIGUITY,38.033
1204705000,LIBUNGAN,1204709000,MIDSAYAP,QUEEN_CONTIGUITY,15.8259
1204705000,LIBUNGAN,1204711000,PIGKAWAYAN,QUEEN_CONTIGUITY,12.3791
1204705000,LIBUNGAN,1204716000,BANISILAN,QUEEN_CONTIGUITY,28.575
1204705000,LIBUNGAN,1204717000,ALEOSAN,QUEEN_CONTIGUITY,14.7466
1204706000,MAGPET,1204707000,MAKILALA,QUEEN_CONTIGUITY,25.5133
1204706000,MAGPET,1204713000,PRESIDENT ROXAS,QUEEN_CONTIGUITY,33.4727
1204706000,MAGPET,1204715000,ANTIPAS,QUEEN_CONTIGUITY,17.245
1204706000,MAGPET,1204718000,ARAKAN,QUEEN_CONTIGUITY,22.6426
1204707000,MAKILALA,1204710000,M'LANG,QUEEN_CONTIGUITY,22.9716
1204707000,MAKILALA,1204714000,TULUNAN,QUEEN_CONTIGUITY,21.2435
1204708000,MATALAM,1204710000,M'LANG,QUEEN_CONTIGUITY,27.885
1204708000,MATALAM,1204713000,PRESIDENT ROXAS,QUEEN_CONTIGUITY,20.5772
1204708000,MATALAM,1204715000,ANTIPAS,QUEEN_CONTIGUITY,15.0045
1204709000,MIDSAYAP,1204712000,PIKIT,QUEEN_CONTIGUITY,15.4002
1204709000,MIDSAYAP,1204717000,ALEOSAN,QUEEN_CONTIGUITY,13.9612
1204710000,M'LANG,1204714000,TULUNAN,QUEEN_CONTIGUITY,15.9415
1204712000,PIKIT,1204717000,ALEOSAN,QUEEN_CONTIGUITY,12.2883
1204713000,PRESIDENT ROXAS,1204715000,ANTIPAS,QUEEN_CONTIGUITY,16.2291
1204713000,PRESIDENT ROXAS,1204718000,ARAKAN,QUEEN_CONTIGUITY,18.8808
1204714000,TULUNAN,1206502000,COLUMBIO,QUEEN_CONTIGUITY,18.8904
1204715000,ANTIPAS,1204718000,ARAKAN,QUEEN_CONTIGUITY,12.194
1206302000,BANGA,1206306000,KORONADAL,QUEEN_CONTIGUITY,12.746
1206302000,BANGA,1206311000,NORALA,QUEEN_CONTIGUITY,18.9755
1206302000,BANGA,1206313000,SURALLAH,QUEEN_CONTIGUITY,9.4808
1206302000,BANGA,1206315000,TANTANGAN,QUEEN_CONTIGUITY,20.424
1206302000,BANGA,1206316000,T'BOLI,QUEEN_CONTIGUITY,31.4548
1206302000,BANGA,1206317000,TUPI,QUEEN_CONTIGUITY,22.1766
1206302000,BANGA,1206318000,SANTO NIÑO,QUEEN_CONTIGUITY,13.3479
1206306000,KORONADAL,1206314000,TAMPAKAN,QUEEN_CONTIGUITY,17.6303
1206306000,KORONADAL,1206315000,TANTANGAN,QUEEN_CONTIGUITY,18.8588
1206306000,KORONADAL,1206317000,TUPI,QUEEN_CONTIGUITY,16.1156
1206306000,KORONADAL,1206502000,COLUMBIO,QUEEN_CONTIGUITY,25.6069
1206306000,KORONADAL,1206507000,LUTAYAN,QUEEN_CONTIGUITY,17.9581
1206311000,NORALA,1206315000,TANTANGAN,QUEEN_CONTIGUITY,9.8747
1206311000,NORALA,1206318000,SANTO NIÑO,QUEEN_CONTIGUITY,9.306
1206311000,NORALA,1206504000,ISULAN,QUEEN_CONTIGUITY,29.342
1206311000,NORALA,1206511000,TACURONG,QUEEN_CONTIGUITY,14.2528
1206312000,POLOMOLOK,1206316000,T'BOLI,QUEEN_CONTIGUITY,18.8713
1206312000,POLOMOLOK,1206317000,TUPI,QUEEN_CONTIGUITY,13.9042
1206312000,POLOMOLOK,1208007000,MALUNGON,QUEEN_CONTIGUITY,25.6746
1206312000,POLOMOLOK,1230800000,GENERAL SANTOS,QUEEN_CONTIGUITY,16.0501
1206313000,SURALLAH,1206316000,T'BOLI,QUEEN_CONTIGUITY,30.5383
1206313000,SURALLAH,1206318000,SANTO NIÑO,QUEEN_CONTIGUITY,13.8562
1206313000,SURALLAH,1206319000,LAKE SEBU,QUEEN_CONTIGUITY,15.8252
1206313000,SURALLAH,1206501000,BAGUMBAYAN,QUEEN_CONTIGUITY,29.7666
1206314000,TAMPAKAN,1206317000,TUPI,QUEEN_CONTIGUITY,15.3772
1206314000,TAMPAKAN,1206502000,COLUMBIO,QUEEN_CONTIGUITY,19.7903
1206315000,TANTANGAN,1206507000,LUTAYAN,QUEEN_CONTIGUITY,18.2221
1206315000,TANTANGAN,1206510000,PRESIDENT QUIRINO,QUEEN_CONTIGUITY,15.5503
1206315000,TANTANGAN,1206511000,TACURONG,QUEEN_CONTIGUITY,12.7669
1206316000,T'BOLI,1206317000,TUPI,QUEEN_CONTIGUITY,22.5531
1206316000,T'BOLI,1206319000,LAKE SEBU,QUEEN_CONTIGUITY,36.9268
1206316000,T'BOLI,1208003000,KIAMBA,QUEEN_CONTIGUITY,27.5242
1206316000,T'BOLI,1208004000,MAASIM,QUEEN_CONTIGUITY,23.7717
1206316000,T'BOLI,1230800000,GENERAL SANTOS,QUEEN_CONTIGUITY,21.9532
1206317000,TUPI,1208007000,MALUNGON,QUEEN_CONTIGUITY,31.5106
1206318000,SANTO NIÑO,1206501000,BAGUMBAYAN,QUEEN_CONTIGUITY,19.3667
1206318000,SANTO NIÑO,1206504000,ISULAN,QUEEN_CONTIGUITY,32.5312
1206319000,LAKE SEBU,1206501000,BAGUMBAYAN,QUEEN_CONTIGUITY,29.6661
1206319000,LAKE SEBU,1206509000,PALIMBANG,QUEEN_CONTIGUITY,34.6434
1206319000,LAKE SEBU,1206512000,SEN. NINOY AQUINO,QUEEN_CONTIGUITY,34.4928
1206319000,LAKE SEBU,1208003000,KIAMBA,QUEEN_CONTIGUITY,30.1941
1206319000,LAKE SEBU,1208005000,MAITUM,QUEEN_CONTIGUITY,20.1194
1206501000,BAGUMBAYAN,1206504000,ISULAN,QUEEN_CONTIGUITY,15.374
1206501000,BAGUMBAYAN,1206512000,SEN. NINOY AQUINO,QUEEN_CONTIGUITY,18.1721
1206502000,COLUMBIO,1206507000,LUTAYAN,QUEEN_CONTIGUITY,10.3345
1206503000,ESPERANZA,1206504000,ISULAN,QUEEN_CONTIGUITY,15.4498
1206503000,ESPERANZA,1206506000,LEBAK,QUEEN_CONTIGUITY,38.2543
1206503000,ESPERANZA,1206508000,LAMBAYONG,QUEEN_CONTIGUITY,16.1186
1206504000,ISULAN,1206505000,KALAMANSIG,QUEEN_CONTIGUITY,31.1472
1206504000,ISULAN,1206506000,LEBAK,QUEEN_CONTIGUITY,29.7432
1206504000,ISULAN,1206508000,LAMBAYONG,QUEEN_CONTIGUITY,30.279
1206504000,ISULAN,1206511000,TACURONG,QUEEN_CONTIGUITY,28.6918
1206504000,ISULAN,1206512000,SEN. NINOY AQUINO,QUEEN_CONTIGUITY,21.5801
1206505000,KALAMANSIG,1206506000,LEBAK,QUEEN_CONTIGUITY,17.7653
1206505000,KALAMANSIG,1206509000,PALIMBANG,QUEEN_CONTIGUITY,30.2318
1206505000,KALAMANSIG,1206512000,SEN. NINOY AQUINO,QUEEN_CONTIGUITY,22.7413
1206507000,LUTAYAN,1206510000,PRESIDENT QUIRINO,QUEEN_CONTIGUITY,22.917
1206508000,LAMBAYONG,1206510000,PRESIDENT QUIRINO,QUEEN_CONTIGUITY,13.1809
1206508000,LAMBAYONG,1206511000,TACURONG,QUEEN_CONTIGUITY,13.8572
1206509000,PALIMBANG,1206512000,SEN. NINOY AQUINO,QUEEN_CONTIGUITY,18.9742
1206509000,PALIMBANG,1208005000,MAITUM,QUEEN_CONTIGUITY,27.6076
1206510000,PRESIDENT QUIRINO,1206511000,TACURONG,QUEEN_CONTIGUITY,8.9432
1208001000,ALABEL,1208002000,GLAN,DISTANCE_FALLBACK,44.1696
1208001000,ALABEL,1208006000,MALAPATAN,QUEEN_CONTIGUITY,15.7848
1208001000,ALABEL,1208007000,MALUNGON,QUEEN_CONTIGUITY,27.3696
1208001000,ALABEL,1230800000,GENERAL SANTOS,QUEEN_CONTIGUITY,28.2758
1208002000,GLAN,1208006000,MALAPATAN,QUEEN_CONTIGUITY,29.4678
1208003000,KIAMBA,1208004000,MAASIM,QUEEN_CONTIGUITY,28.7785
1208003000,KIAMBA,1208005000,MAITUM,QUEEN_CONTIGUITY,29.0807
1208004000,MAASIM,1230800000,GENERAL SANTOS,QUEEN_CONTIGUITY,25.6197
1208007000,MALUNGON,1230800000,GENERAL SANTOS,QUEEN_CONTIGUITY,31.5977
